Nr.;Bals.ID;Tema
1;13967;5
2;13977;3
3;13986;2
4;13995;1
5;13897;3
6;13906;5
7;13916;1
8;13925;3
9;13933;2
10;13941;5
11;13949;5
12;13959;2
13;13856;1
14;13867;5
15;13875;3
16;13883;5
17;13893;5
18;13846;3
19;13801;4
20;13811;3
21;13820;1
22;13829;5
23;13744;1
24;13753;1
25;13763;2
26;13772;5
27;13782;5
28;13791;5
29;13715;1
30;13726;5
31;13735;5
32;13693;5
33;13703;5
34;13678;5
35;13687;4
36;15525;4
37;15534;1
38;15543;6
39;15552;3
40;15561;5
41;15569;6
42;15578;4
43;15587;5
44;15596;4
45;15605;2
46;15613;2
47;15622;5
48;15631;1
49;15426;5
50;15435;5
51;15444;3
52;15453;1
53;15456;1
54;15466;2
55;15473;5
56;15482;2
57;15490;5
58;15498;4
59;15508;5
60;15517;3
61;15382;1
62;15391;2
63;15400;5
64;15408;3
65;15417;2
66;15313;5
67;15322;6
68;15331;1
69;15340;2
70;15349;5
71;15358;5
72;15367;5
73;15229;5
74;15238;1
75;15247;3
76;15255;2
77;15264;1
78;15273;5
79;15283;4
80;15292;2
81;15301;5
82;15310;2
83;15191;3
84;15200;5
85;15211;1
86;15220;5
87;15137;5
88;15147;3
89;15156;1
90;15165;2
91;15174;5
92;15183;2
93;15094;1
94;15103;5
95;15112;3
96;15122;4
97;15131;5
98;15064;5
99;15073;3
100;15082;1
101;15034;6
102;15045;5
103;15054;3
104;13989;1
105;13998;1
106;15008;3
107;15017;2
108;15026;1
109;13938;1
110;13947;5
111;13959;5
112;13968;5
113;13977;2
114;13888;6
115;13895;3
116;13903;5
117;13912;5
118;13921;2
119;13931;3
120;13823;2
121;13832;1
122;13841;6
123;13850;6
124;13859;5
125;13868;1
126;13877;5
127;13886;5
128;13787;1
129;13796;5
130;13805;2
131;13735;5
132;13744;5
133;13753;6
134;13763;5
135;13772;1
136;13681;6
137;13690;5
138;13699;1
139;13708;1
140;13720;2
141;13729;3
142;16748;5
143;16757;1
144;16766;3
145;16775;5
146;16783;4
147;16792;1
148;16802;2
149;16652;1
150;16661;5
151;16670;2
152;16679;5
153;16688;6
154;16697;5
155;16707;1
156;16716;1
157;16725;3
158;16728;2
159;16737;3
160;16745;3
161;16581;3
162;16590;5
163;16599;5
164;16608;5
165;16617;3
166;16626;3
167;16635;1
168;16644;5
169;16516;1
170;16525;5
171;16534;3
172;16543;2
173;16553;3
174;16562;5
175;16571;1
176;16472;2
177;16481;6
178;16491;2
179;16500;5
180;16507;2
181;16432;1
182;16441;5
183;16451;5
184;16459;5
185;16356;5
186;16365;5
187;16374;5
188;16383;5
189;16392;5
190;16401;2
191;16410;1
192;16419;1
193;16428;1
194;16309;2
195;16319;3
196;16328;1
197;16337;2
198;16346;5
199;16262;5
200;16271;3
201;16280;5
202;16289;1
203;16298;1
204;16223;5
205;16232;3
206;16241;1
207;16252;4
208;16261;5
209;16167;3
210;16176;5
211;16186;1
212;16195;6
213;16204;1
214;16213;1
215;16105;5
216;16115;5
217;16124;5
218;16133;3
219;16142;1
220;16151;6
221;16046;5
222;16055;4
223;16064;5
224;16073;2
225;16082;5
226;16091;3
227;16100;5
228;16007;5
229;16016;5
230;16025;5
231;16034;5
232;16043;6
233;15935;2
234;15944;2
235;15953;2
236;15962;5
237;15971;5
238;15981;5
239;15990;5
240;15887;5
241;15896;5
242;15905;2
243;15915;5
244;15925;6
245;15841;2
246;15850;5
247;15859;5
248;15869;2
249;15878;5
250;15790;5
251;15801;5
252;15811;5
253;15822;5
254;15831;5
255;15758;3
256;15768;1
257;15777;2
258;15786;5
259;15719;2
260;15729;1
261;15738;1
262;15748;1
263;15686;2
264;15695;6
265;15705;3
266;15647;5
267;15656;5
268;15666;3
269;15676;6
270;15645;5
271;16836;5
272;16844;2
273;16854;4
274;16863;1
275;16872;2
276;16811;5
277;16820;2
278;17013;2
279;17022;2
280;17031;2
281;17040;6
282;16975;5
283;16984;1
284;16993;6
285;17002;3
286;16947;5
287;16956;2
288;16966;5
289;16897;5
290;16906;2
291;16916;5
292;16928;1
293;16937;1
294;16878;5
295;16888;5
296;16896;5
