;7;22;31;43;45;51;54;63;80;94;110;114;117;121;125;149;155;178;200;231;232;265;7193;7194;7198;7199;7206;7207;7208;7221;7227;7229;7242;7252;7259;7260;7448;12253;16689;22590;23310;23521;23526;23547;23552;23562;23671;23696;23703;23775;24013;24021;24594;26333;26338;26418;26656;33749;34208;34422;34428;34505;34643;36032;36392;36693;37063;38116;38796;38848;43842;44850;45771;47158;47211;47218;47221;47225;47232;47811;47830;47832;47836;47837;47839;47841;47842;47844;47845;47849;47850;47852;47856;47857;47860;47861;47867;47875;47910;47932;47959;47983;48114;48690;50121;50482;53899;53900;53901;53902;53903;53904;53905;53906;53907;53908;53909;53910;53911;53912;53913;53914;53915;53916;53917;53918;53919;53920;53921;53922;53923;53924;53925;53926;53927;53929;53930;53931;53932;54008;65700;65703
-4965_2009-07-16_11:08:31;2;2;5;2;2;2;1;5;2;2;4;5;5;2;2;2;5;5;1;2;3;5;5;5;2;5;5;2;2;2;2;2;2;2;5;2;1;1;2;2;5;5;2;1;1;2;2;0;2;2;2;2;5;2;1;1;2;5;2;5;2;2;2;2;2;1;2;2;5;5;5;2;1;2;2;2;2;5;5;2;1;5;2;5;5;1;5;1;1;5;1;1;1;5;2;2;1;5;5;1;1;2;5;2;1;2;2;2;2;2;1;1;5;1;5;2;1;2;1;2;5;2;5;2;2;5;2;1;2;5;1;1;1;2;2;1;1;1;4;5;;
-4965_2009-07-16_11:14:28;1;2;5;5;2;2;5;3;3;2;5;5;5;2;2;1;5;5;1;2;3;5;5;5;2;1;5;5;2;3;2;2;2;3;5;2;2;1;3;2;5;5;5;5;2;5;2;0;2;1;2;2;5;2;2;2;3;5;2;5;2;2;1;3;2;2;1;2;5;5;5;2;2;2;2;2;3;5;2;2;2;5;1;5;5;5;5;1;5;2;1;2;1;5;2;5;1;2;5;5;1;1;5;5;2;2;2;2;3;5;2;3;5;5;5;1;1;2;2;2;5;2;2;2;2;5;1;1;2;5;2;2;2;2;1;2;2;5;4;5;;
-4965_2009-07-16_11:18:16;5;2;5;5;5;2;5;5;1;4;5;5;5;2;2;2;5;5;5;3;3;5;2;1;5;5;5;5;2;1;2;2;2;2;5;5;4;1;2;1;5;5;2;1;1;2;2;0;2;2;2;2;5;2;1;2;2;5;2;2;2;2;1;1;2;5;2;2;5;5;5;2;2;2;2;2;2;5;2;4;1;5;1;5;5;1;5;5;5;2;2;5;4;5;1;2;1;1;2;5;2;2;5;5;1;2;2;1;2;5;2;5;5;1;5;5;1;1;2;3;5;5;5;2;2;5;2;2;2;5;2;2;2;2;5;5;2;1;1;5;;
-4965_2009-07-16_11:23:50;3;5;5;5;1;3;3;1;3;2;5;5;5;1;1;1;5;5;3;1;1;5;3;5;5;2;5;1;1;1;1;1;1;3;5;1;1;2;1;1;5;5;3;2;2;2;4;0;1;2;1;1;5;2;2;1;1;5;1;5;1;1;2;1;1;3;2;3;5;5;5;3;1;1;1;2;1;1;2;5;2;5;2;5;5;2;5;2;5;1;3;5;2;5;4;3;2;2;5;5;3;3;3;5;2;1;1;1;3;5;1;5;5;1;5;5;2;1;1;1;5;1;1;1;1;5;1;1;1;5;1;1;5;1;5;1;1;5;2;1;;
-4966_2009-07-16_11:27:05;1;5;5;5;2;2;1;5;3;2;5;5;5;5;2;2;5;5;1;1;2;5;2;5;5;5;5;5;2;2;2;2;2;2;5;2;4;1;2;2;5;5;2;1;1;2;2;0;2;2;2;2;5;1;2;5;2;5;2;2;2;2;2;5;2;2;2;2;5;5;5;2;1;4;2;2;2;2;2;5;1;5;2;5;5;1;5;1;5;5;1;1;1;5;2;3;1;2;1;1;1;1;1;5;1;2;2;2;2;5;2;2;5;2;5;2;1;2;1;5;5;5;5;1;2;5;2;1;2;5;2;5;1;5;2;5;2;5;1;5;;
-4966_2009-07-16_11:32:19;3;1;5;5;1;2;1;1;3;1;5;5;5;1;1;1;5;5;3;1;1;5;2;5;5;3;1;1;1;1;5;1;1;3;5;1;1;1;1;1;5;2;3;4;2;5;1;0;1;2;1;1;5;2;2;5;1;5;1;5;1;1;2;5;1;3;2;5;5;5;5;2;1;1;1;2;1;1;5;5;1;5;2;1;5;1;2;3;5;5;2;3;2;5;1;2;2;3;1;2;2;3;2;1;2;1;1;1;3;1;1;1;5;1;5;3;1;1;1;5;5;5;2;1;1;5;1;1;1;5;1;1;1;5;1;1;1;5;1;1;;
-4967_2009-07-16_11:36:10;1;3;5;5;2;2;3;5;5;2;5;5;5;2;3;2;5;5;1;2;2;5;2;5;5;1;5;5;2;5;2;2;2;2;5;5;4;1;5;2;5;2;2;1;1;5;2;0;2;1;2;2;5;2;2;5;5;5;2;5;2;2;1;5;2;1;2;5;5;5;5;2;2;2;2;2;5;5;5;5;1;5;1;5;5;1;1;1;5;5;5;1;5;5;2;2;1;1;2;1;1;1;1;2;1;2;4;2;2;2;2;2;5;1;2;1;1;2;2;5;5;5;5;2;2;5;2;2;2;5;2;2;5;5;2;2;2;5;1;5;;
-4967_2009-07-16_11:39:57;3;1;5;5;1;2;3;1;3;1;5;5;5;1;1;1;5;5;3;1;1;5;2;5;5;4;5;5;1;5;1;1;1;3;5;5;1;2;5;1;5;3;3;2;3;5;1;0;1;3;1;1;5;2;2;5;2;5;1;5;1;1;3;5;1;2;2;5;5;5;5;2;1;1;1;2;2;1;5;5;3;5;3;1;5;2;5;3;5;5;3;2;5;5;1;3;5;2;1;2;5;3;5;1;2;1;1;1;3;1;1;1;5;2;2;2;2;1;1;5;5;5;1;1;1;5;1;1;1;5;1;1;5;5;1;1;1;5;2;5;;
-4968_2009-07-16_11:43:29;3;5;1;1;1;2;1;1;3;5;5;5;5;1;1;1;5;5;1;1;1;5;3;5;5;5;2;5;1;5;1;1;1;3;5;1;1;5;5;1;5;3;3;3;3;5;5;0;1;2;1;1;5;2;2;5;1;5;1;5;1;1;3;5;1;2;1;5;5;5;5;2;1;1;5;2;1;1;5;5;3;5;2;1;5;3;5;3;5;5;2;3;2;5;1;2;5;5;1;2;5;5;5;1;2;1;1;1;3;1;1;5;5;2;1;1;2;1;1;1;5;5;1;1;1;5;1;1;1;5;1;1;5;1;5;1;1;5;2;5;;
-4969_2009-07-16_11:48:17;3;1;1;1;1;2;3;1;3;5;5;5;5;5;1;5;5;5;4;1;1;5;3;2;5;5;1;5;1;5;1;1;1;3;5;1;1;2;1;1;5;3;2;3;3;1;1;0;1;5;1;1;5;3;2;5;1;5;1;5;5;1;3;5;1;2;3;5;5;5;5;5;1;1;5;2;1;1;5;5;3;2;2;1;5;3;5;2;5;5;2;4;2;5;1;5;5;5;1;2;5;2;2;1;2;1;1;1;3;1;1;5;5;2;1;1;2;1;1;1;5;5;5;1;1;5;1;1;1;5;1;1;5;1;1;1;1;5;2;5;;
-4971_2009-07-16_11:51:03;3;1;1;1;1;2;3;1;3;5;5;5;5;1;1;1;5;5;4;1;1;5;3;2;5;2;1;1;1;5;1;1;1;3;5;1;1;2;1;1;5;3;3;3;3;1;1;0;1;2;1;1;5;5;2;1;1;5;1;5;1;1;3;5;1;2;5;5;5;5;5;3;1;1;5;2;1;1;5;5;3;2;3;1;5;3;5;2;5;1;2;1;5;5;1;3;5;1;1;2;5;2;2;5;2;1;1;1;3;1;1;5;5;2;5;1;2;1;1;1;5;5;1;1;1;5;1;1;1;5;1;1;5;1;1;1;1;5;2;5;;
-4975_2009-07-16_12:02:29;1;2;2;1;2;1;1;1;2;1;1;5;5;5;2;2;5;5;1;2;2;5;1;2;1;1;1;2;2;1;2;2;5;2;5;2;2;1;2;1;1;1;1;1;1;3;2;0;2;1;1;2;5;1;1;1;1;2;2;1;1;2;1;2;2;1;5;5;2;5;5;1;1;5;2;1;1;2;5;4;1;1;1;2;5;1;5;5;1;1;1;1;1;5;2;1;5;1;1;1;5;1;1;2;1;2;2;1;1;1;1;1;5;1;5;2;1;1;1;1;5;5;1;2;2;5;2;1;1;5;5;1;1;1;2;1;1;5;1;5;;
-4977_2009-07-16_12:10:28;5;5;5;1;1;1;5;5;5;1;5;5;5;1;1;5;5;5;2;1;1;5;5;5;1;2;1;1;1;1;1;1;1;5;5;5;1;1;1;1;1;5;1;2;2;5;1;0;1;5;1;1;1;1;1;1;1;5;1;5;1;1;1;1;1;1;5;5;1;5;5;2;1;5;1;5;5;1;5;1;1;1;1;1;5;1;2;3;2;5;5;5;2;5;1;5;5;5;1;2;2;3;2;1;1;1;1;1;1;5;1;5;5;1;5;5;1;1;1;5;5;1;5;1;1;5;1;1;1;1;1;1;1;1;5;1;5;5;2;5;;
-4980_2009-07-16_12:33:53;5;5;5;5;1;5;5;5;5;1;5;5;5;1;1;5;2;5;5;5;1;5;2;5;5;1;1;1;1;1;1;1;1;1;5;5;1;3;1;1;1;1;1;2;5;2;1;0;1;5;1;1;5;5;2;2;1;1;1;2;2;1;1;1;1;2;5;5;1;5;5;1;2;5;1;1;5;1;1;5;5;5;1;1;5;5;1;1;2;5;1;5;5;5;1;5;1;5;2;1;1;1;1;1;3;1;5;5;5;1;5;5;5;3;5;1;3;1;1;2;5;1;1;1;5;5;5;5;5;5;5;5;2;5;1;5;2;3;2;5;;
-4985_2009-07-16_13:40:32;1;5;5;5;5;1;1;1;5;1;1;5;5;5;1;5;5;5;5;2;5;5;1;5;5;5;1;5;2;1;1;5;5;5;5;5;1;5;2;1;5;5;5;5;5;1;1;0;5;5;1;5;5;5;5;5;5;1;5;5;2;1;1;1;5;5;5;1;1;5;5;1;5;2;5;1;1;2;5;2;5;5;1;1;5;5;5;5;5;2;5;5;5;5;1;5;1;5;5;5;5;5;5;5;1;1;1;1;1;5;5;5;1;5;1;5;1;1;1;2;2;5;5;1;5;5;1;5;4;5;1;5;1;5;5;5;5;5;1;5;;
-4986_2009-07-16_13:57:00;1;5;2;5;5;5;1;2;5;2;5;5;5;5;3;2;5;5;4;2;2;5;1;5;3;5;5;5;2;1;2;5;1;5;5;5;1;5;3;2;5;5;5;5;5;1;1;0;5;5;2;5;2;5;3;5;5;5;5;2;2;3;1;2;5;1;5;5;2;5;5;5;5;5;5;5;1;2;5;2;5;5;1;1;2;1;5;5;5;3;5;1;5;5;4;5;3;1;5;5;5;1;5;5;1;2;2;1;1;2;5;5;1;5;1;5;1;2;3;3;3;5;5;2;5;5;2;5;2;2;2;5;3;5;2;5;2;1;1;5;;
