ID;vardas;Frakcija;narystë;Statusas
7;Andr;1;1;1
18;Bern;1;1;1
31;Dagy;2;1;2
43;Zing;2;1;2
50;Gyly;3;1;2
51;Ðiau;1;1;1
54;Vese;4;1;1
80;Sala;1;1;1
82;Saul;1;1;1
117;Kirk;1;1;1
121;Kubi;2;1;2
125;Kuzm;2;1;2
139;Nest;1;1;1
146;Gent;5;1;2
155;Glav;5;1;2
178;Jukn;2;1;2
265;Brad;1;1;1
7193;Olek;1;1;1
7194;Butk;1;1;1
7196;Pata;3;1;2
7198;Kaðë;5;1;2
7199;Graþ;4;1;1
7206;Kupè;2;1;2
7207;Degu;2;1;2
7208;Aþub;2;1;2
7221;AnMa;2;1;2
7227;Vidþ;2;1;2
7229;Alek;2;1;2
7242;Razm;2;1;2
7252;Sysa;1;1;1
7448;Ðedb;2;1;2
12253;JNar;6;2;1
15266;Leip;1;1;1
23310;MPet;1;1;1
23412;SDmi;7;1;1
23421;LDmi;7;1;1
23521;Saba;1;1;1
23526;Vësa;1;1;1
23547;VMaz;4;1;1
23689;Kvet;6;2;1
23696;Talm;6;2;1
23703;Dumè;2;1;2
23765;Kamb;4;1;1
23775;Pauþ;1;1;1
23861;Pute;2;2;2
24021;Stun;2;1;2
24048;Krei;2;1;2
26333;Sink;1;1;1
26418;Step;5;1;2
26429;Ðabl;1;1;1
26656;Baðk;8;1;3
33749;Jank;2;1;2
34360;Bart;4;1;1
34422;EMas;5;1;2
34505;Þeim;2;1;2
35241;Jedi;6;1;1
36032;Marg;2;1;2
36146;Miðk;1;1;1
36693;Dumb;4;1;1
37063;Simu;1;1;1
37153;Ðima;5;1;2
37449;Miko;1;1;1
37812;Monk;1;1;1
38116;Bast;1;1;1
38456;Jaka;7;1;1
38848;Miku;7;1;1
39007;Mitr;1;1;1
39606;Paul;7;1;1
43842;Teið;5;1;2
43989;Kond;7;1;1
44850;Jony;1;1;1
45101;Ursu;7;1;1
45771;Auðt;5;1;2
47204;Uspa;7;1;1
47225;Vare;2;1;2
47229;ASka;1;1;1
47235;Purv;1;1;1
47484;Krav;6;2;1
47811;KMas;2;1;2
47836;Þaka;1;1;1
47839;Star;2;1;2
47842;Gedv;7;1;1
47844;Dauk;7;1;1
47850;Buka;7;1;1
47852;Aèas;8;2;3
47856;Buce;7;1;1
47860;Èigr;2;1;2
47861;Pavi;1;1;1
47865;Þvik;7;1;1
47866;Pitr;7;1;1
47867;Grau;7;1;1
47875;Valk;4;1;1
47932;Gapð;7;1;1
47983;Zasè;7;1;1
48114;Balt;7;1;1
48541;Rozo;6;1;1
48565;Mock;1;1;1
48690;Adom;2;1;2
50482;Bilo;2;1;2
50877;Dudë;1;1;1
51660;Vonþ;7;1;1
51970;Ðala;1;1;1
53899;Saud;2;1;2
53909;Mack;6;2;1
53912;Kuod;5;1;2
53916;Anuð;2;1;2
53917;ASta;3;1;2
53926;Þili;2;1;2
53931;Koms;4;1;1
53932;AMaz;4;1;1
53995;VSka;7;1;1
54711;Kazl;2;1;2
56356;VyMa;3;1;2
65703;Þema;4;1;1
69932;Poþe;1;1;1
70474;Fili;7;1;1
73568;Bals;8;1;3
73569;Biru;7;1;1
73570;Èimb;7;1;1
73571;Fiod;7;1;1
73572;Gail;5;1;2
73573;Jova;2;1;2
73574;Juod;1;1;1
73575;VJuo;2;1;2
73576;Mark;7;1;1
73577;PNar;7;1;1
73578;APal;1;1;1
73579;RPal;7;1;1
73580;DaPe;1;1;1
73581;DoPe;1;1;1
73583;Popo;1;1;1
73584;Sarg;7;1;1
73585;Stre;2;1;2
73586;RTam;6;2;1
73587;Ulic;7;1;1
73588;Urbð;8;1;3
73589;Vaic;4;1;1
73590;Vark;3;1;2
73591;Vasi;3;1;2
73592;Venc;3;1;2
73593;Zelt;1;1;1
74432;Gryb;1;1;1
