Nr.;Bals.ID;Tema
1;13672;3
2;13673;3
3;13673;3
4;13674;3
5;13675;3
6;13676;4
7;13677;3
8;13680;3
9;13682;3
10;13691;3
11;13694;1
12;13696;3
13;13697;5
14;13698;1
15;13699;3
16;13702;1
17;13705;3
18;13705;3
19;13708;2
20;13709;2
21;13709;2
22;13713;3
23;13714;5
24;13715;6
25;13716;2
26;13716;2
27;13717;2
28;13719;1
29;13720;1
30;13724;5
31;13725;1
32;13726;1
33;13727;1
34;13727;1
35;13727;1
36;13729;6
37;13729;6
38;13730;6
39;13733;2
40;13735;3
41;13736;3
42;13737;3
43;13740;1
44;13741;5
45;13744;5
46;13746;2
47;13749;3
48;13750;1
49;13750;1
50;13751;4
51;13752;3
52;13753;5
53;13757;1
54;13758;5
55;13771;1
56;13774;1
57;13777;3
58;13780;2
59;13783;2
60;13786;2
61;13789;2
62;13792;1
63;13795;3
64;13797;4
65;13799;5
66;13801;4
67;13803;3
68;13804;5
69;13804;5
70;13805;5
71;13806;3
72;13806;3
73;13809;1
74;13809;1
75;13809;1
76;13810;1
77;13811;6
78;13814;5
79;13816;5
80;13816;5
81;13818;3
82;13820;6
83;13821;6
84;13827;1
85;13830;1
86;13831;4
87;13832;1
88;13833;1
89;13834;5
90;13838;3
91;13838;3
92;13840;5
93;13846;5
94;13848;3
95;13849;3
96;13854;4
97;13856;1
98;13858;5
99;13861;3
100;13863;3
101;13869;6
102;13871;3
103;13873;5
104;13875;5
105;13877;1
106;13879;3
107;13883;1
108;13885;1
109;13888;3
110;13891;1
111;13894;4
112;13895;3
113;13897;6
114;13897;6
115;13898;5
116;13898;5
117;13899;4
118;13900;1
119;13901;1
120;13902;1
121;13903;1
122;13903;1
123;13904;1
124;13905;1
125;13906;1
126;13907;5
127;13907;5
128;13907;5
129;13910;1
130;13914;5
131;13917;2
132;13919;5
133;13920;4
134;13922;2
135;13922;2
136;13923;5
137;13927;5
138;13932;4
139;13934;5
140;13947;1
141;13950;1
142;13953;1
143;13956;3
144;13957;1
145;13959;3
146;13960;3
147;13962;4
148;13962;4
149;13962;4
150;13962;4
151;13962;4
152;13963;2
153;13963;2
154;13964;3
155;13964;3
156;13964;3
157;13964;3
158;13964;3
159;13964;3
160;13964;3
161;13964;3
162;13964;3
163;13964;3
164;13964;3
165;13964;3
166;13964;3
167;13964;3
168;13964;3
169;13964;3
170;13964;3
171;13964;3
172;13964;3
173;13964;3
174;13964;3
175;13964;3
176;13964;3
177;13964;3
178;13964;3
179;13964;3
180;13964;3
181;13964;3
182;13964;3
183;13968;1
184;13972;1
185;13975;1
186;13976;1
187;13977;6
188;13978;5
189;13980;5
190;13981;5
191;13982;4
192;13983;4
193;13984;5
194;13985;5
195;13986;5
196;13988;5
197;13989;4
198;13990;4
199;13991;5
200;13992;5
201;13993;4
202;13994;4
203;13995;4
204;13996;6
205;13997;2
206;13998;2
207;13999;4
208;14000;1
209;14001;5
210;14002;4
211;14004;5
212;14006;5
213;14007;4
214;14008;4
215;14009;2
216;14009;2
217;14009;2
218;14009;2
219;14010;2
220;14011;5
221;14011;5
222;14014;1
223;14015;1
224;14018;1
225;14021;2
226;14024;1
227;14029;1
228;14032;2
229;14035;2
230;14038;2
231;14041;1
232;14044;2
233;14047;1
234;14050;2
235;14053;2
236;14056;2
237;14057;1
238;14058;1
239;14059;1
240;14060;5
241;14060;5
242;14061;5
243;14062;5
244;14063;3
245;14064;3
246;14065;5
247;14066;5
248;14067;5
249;14068;5
250;14069;4
251;14070;1
252;14071;4
253;14072;4
254;14073;4
255;14074;4
256;14075;4
257;14076;4
258;14077;6
259;14078;5
260;14079;5
261;14079;5
262;14080;5
263;14081;5
264;14082;3
265;14083;4
266;14085;4
267;14087;4
268;14089;5
269;14091;3
270;14110;3
271;14110;3
272;14113;5
273;14114;4
274;14115;4
275;14115;4
276;14115;4
277;14115;4
278;14116;5
279;14116;5
280;14130;2
281;14133;1
282;14135;4
283;14135;4
284;14144;6
285;14149;5
286;14153;1
287;14153;1
288;14153;1
289;14154;5
290;14155;5
291;14155;5
292;14161;2
293;14162;5
294;14163;5
295;14164;4
296;14164;4
297;14165;5
298;14166;5
299;14166;5
300;14167;5
301;14168;5
302;14169;5
303;14170;5
304;14172;5
305;14173;5
306;14174;5
307;14175;5
308;14176;5
309;14177;5
310;14178;5
311;14179;5
312;14180;5
313;14181;5
314;14183;4
315;14183;4
316;14184;5
317;14184;5
318;14185;1
319;14187;3
320;14189;5
321;14190;5
322;14190;5
323;14191;5
324;14192;5
325;14192;5
326;14193;5
327;14194;5
328;14201;4
329;14202;5
330;14210;1
331;14212;1
332;14221;1
333;14221;1
334;14224;5
335;14228;5
336;14231;1
337;14234;1
338;14236;2
339;14239;3
340;14242;3
341;14245;1
342;14248;1
343;14251;2
344;14254;1
345;14259;3
346;14262;4
347;14263;3
348;14264;3
349;14266;6
350;14267;5
351;14268;1
352;14270;5
353;14276;3
354;14279;5
355;14281;5
356;14282;2
357;14284;2
358;14288;5
359;14289;3
360;14291;3
361;14292;3
362;14293;5
363;14295;4
364;14298;5
365;14301;1
366;14304;1
367;14305;5
368;14306;5
369;14311;1
370;14314;3
371;14316;3
372;14317;6
373;14319;2
374;14321;2
375;14322;1
376;14322;1
377;14323;5
378;14324;1
379;14331;2
380;14334;3
381;14337;3
382;14337;3
383;14339;5
384;14341;5
385;14342;6
386;14345;3
387;14348;3
388;14351;5
389;14354;2
390;14356;5
391;14358;5
392;14360;5
393;14361;1
394;14364;3
395;14365;4
396;14366;2
397;14368;3
398;14371;1
399;14376;1
400;14379;5
401;14380;1
402;14382;4
403;14384;1
404;14385;1
405;14386;1
406;14387;1
407;14387;1
408;14392;3
409;14393;4
410;14397;5
411;14399;5
412;14401;5
413;14402;5
414;14403;4
415;14411;3
416;14414;4
417;14416;3
418;14417;4
419;14418;4
420;14421;4
421;14422;5
422;14423;5
423;14424;3
424;14425;6
425;14425;6
426;14426;1
427;14428;5
428;14433;2
429;14435;3
430;14437;5
431;14438;4
432;14443;4
433;14444;4
434;14445;4
435;14446;4
436;14447;1
437;14448;5
438;14450;5
439;14453;5
440;14454;5
441;14455;5
442;14459;6
443;14460;4
444;14461;1
445;14464;1
446;14467;1
447;14470;1
448;14473;1
449;14474;4
450;14476;3
451;14477;3
452;14478;4
453;14479;4
454;14480;5
455;14481;1
456;14482;5
457;14485;3
458;14494;5
459;14497;4
460;14499;5
461;14500;1
462;14501;5
463;14502;1
464;14503;5
465;14505;1
466;14506;4
467;14508;3
468;14509;5
469;14510;2
470;14514;3
471;14516;4
472;14516;4
473;14519;2
474;14519;2
475;14519;2
476;14519;2
477;14519;2
478;14519;2
479;14520;2
480;14522;1
481;14527;3
482;14528;3
483;14531;3
484;14533;2
485;14535;1
486;14536;1
487;14540;4
488;14542;1
489;14543;1
490;14545;5
491;14547;1
492;14548;1
493;14549;4
494;14550;5
495;14551;5
496;14552;5
497;14553;5
498;14556;1
499;14557;5
500;14558;5
501;14559;6
502;14560;5
503;14560;5
504;14560;5
505;14561;6
506;14561;6
507;14561;6
508;14562;1
509;14563;5
510;14565;1
511;14566;1
512;14568;2
513;14571;1
514;14574;1
515;14575;3
516;14576;2
517;14578;2
518;14578;2
519;14582;2
520;14586;1
521;14588;5
522;14589;5
523;14590;4
524;14591;6
525;14593;3
526;14594;5
527;14596;4
528;14598;6
529;14604;1
530;14604;1
531;14604;1
532;14609;3
533;14611;1
534;14611;1
535;14612;1
536;14614;1
537;14615;5
538;14619;3
539;14620;5
540;14622;5
541;14623;5
542;14624;5
543;14625;1
544;14626;1
545;14629;5
546;14629;5
547;14629;5
548;14633;6
549;14633;6
550;14634;6
551;14634;6
552;14634;6
553;14635;1
554;14636;1
555;14637;5
556;14638;4
557;14638;4
558;14638;4
559;14638;4
560;14638;4
561;14639;4
562;14640;5
563;14641;4
564;14641;4
565;14641;4
566;14641;4
567;14641;4
568;14641;4
569;14641;4
570;14641;4
571;14641;4
572;14641;4
573;14641;4
574;14641;4
575;14641;4
576;14641;4
577;14641;4
578;14641;4
579;14641;4
580;14641;4
581;14642;5
582;14645;4
583;14651;3
584;14654;5
585;14657;1
586;14660;1
587;14663;2
588;14666;2
589;14670;5
590;14671;5
591;14672;5
592;14673;5
593;14674;2
594;14676;5
595;14676;5
596;14677;1
597;14680;3
598;14680;3
599;14681;4
600;14682;4
601;14683;5
602;14684;4
603;14686;4
604;14687;1
605;14688;4
606;14689;2
607;14691;3
608;14693;2
609;14695;2
610;14696;2
611;14697;2
612;14698;1
613;14699;1
614;14702;5
615;14704;5
616;14707;3
617;14708;3
618;14710;3
619;14713;5
620;14714;5
621;14720;6
622;14722;6
623;14723;2
624;14723;2
625;14723;2
626;14723;2
627;14723;2
628;14723;2
629;14723;2
630;14726;3
631;14726;3
632;14728;5
633;14729;5
634;14732;3
635;14733;1
636;14736;3
637;14737;4
638;14742;3
639;14744;3
640;14745;5
641;14749;5
642;14750;4
643;14751;5
644;14756;5
645;14757;1
646;14762;5
647;14766;6
648;14767;4
649;14768;3
650;14769;5
651;14770;2
652;14772;1
653;14773;5
654;14774;1
655;14775;2
656;14776;3
657;14787;5
658;14789;5
659;14791;5
660;14793;3
661;14794;3
662;14796;3
663;14800;5
664;14801;3
665;14802;5
666;14803;5
667;14804;5
668;14805;3
669;14807;3
670;14809;2
671;14811;5
672;14811;5
673;14813;6
674;14816;4
675;14816;4
676;14817;2
677;14818;4
678;14819;3
679;14820;4
680;14821;4
681;14822;4
682;14823;5
683;14824;5
684;14825;5
685;14826;1
686;14827;5
687;14828;5
688;14829;1
689;14830;3
690;14831;4
691;14831;4
692;14831;4
693;14831;4
694;14832;4
695;14833;1
696;14834;1
697;14837;1
698;14838;5
699;14838;5
700;14840;6
701;14840;6
702;14842;5
703;14842;5
704;14845;2
705;14845;2
706;14845;2
707;14845;2
708;14845;2
709;14847;4
710;14847;4
711;14851;2
712;14851;2
713;14852;5
714;14853;5
715;14854;5
716;14855;5
717;14855;5
718;14859;1
719;14860;1
720;14861;2
721;14862;4
722;14863;4
723;14864;3
724;14865;3
725;14866;5
726;14867;5
727;14868;5
728;14872;1
729;14873;5
730;14876;3
731;14877;5
732;14879;2
733;14881;5
734;14883;5
735;14884;4
736;14888;3
737;14890;5
738;14891;5
739;14892;2
740;14893;2
741;14894;2
742;14895;2
743;14897;5
744;14898;5
745;14900;5
746;14902;1
747;14903;5
748;14904;4
749;14909;3
750;14912;2
751;14915;1
752;14917;4
753;14919;4
754;14921;4
755;14924;1
756;14928;3
757;14929;1
758;14931;2
759;14933;3
760;14933;3
761;14933;3
762;14934;5
763;14935;3
764;14936;4
765;14937;5
766;14938;4
767;14938;4
768;14938;4
769;14938;4
770;14938;4
771;14939;5
772;14940;5
773;14941;5
774;14942;4
775;14945;1
776;14945;1
777;14946;5
778;14948;5
779;14951;4
780;14952;5
781;14952;5
782;14952;5
783;14952;5
784;14952;5
785;14953;3
786;14954;3
787;14961;1
788;14964;1
789;14966;5
790;14968;3
791;14970;3
792;14971;5
793;14972;5
794;14972;5
795;14972;5
796;14972;5
797;14972;5
798;14972;5
799;14972;5
800;14973;2
801;14973;2
802;14974;5
803;14976;3
804;14977;3
805;14978;2
806;14982;1
807;14983;1
808;14986;4
809;14987;2
810;14988;1
811;14989;2
812;14990;3
813;14992;1
814;14992;1
815;14993;4
816;14994;1
817;14995;1
818;14997;3
819;14998;1
820;14999;5
821;15000;1
822;15001;5
823;15002;1
824;15003;5
825;15004;5
826;15005;5
827;15006;5
828;15007;6
829;15008;5
830;15009;1
831;15010;2
832;15010;2
833;15012;6
834;15014;6
835;15016;3
836;15018;3
837;15020;5
838;15021;1
839;15022;1
840;15025;3
841;15026;5
842;15027;5
843;15027;5
844;15029;2
845;15030;4
846;15031;6
847;15031;6
848;15031;6
849;15031;6
850;15032;3
851;15032;3
852;15032;3
853;15032;3
854;15033;5
855;15033;5
856;15033;5
857;15033;5
858;15033;5
859;15033;5
860;15033;5
861;15034;5
862;15035;5
863;15037;5
864;15039;3
865;15040;3
866;15041;3
867;15041;3
868;15043;1
869;15044;5
870;15045;5
871;15046;5
872;15047;5
873;15050;3
874;15052;1
875;15054;5
876;15055;3
877;15057;6
878;15059;3
879;15060;3
880;15061;4
881;15062;4
882;15063;1
883;15064;5
884;15064;5
885;15066;4
886;15067;3
887;15067;3
888;15068;3
889;15071;2
890;15073;5
891;15075;3
892;15076;2
893;15077;5
894;15078;2
895;15079;5
896;15080;5
897;15081;2
898;15083;5
899;15087;3
900;15088;5
901;15089;5
902;15090;5
903;15091;1
904;15092;5
905;15093;1
906;15094;5
907;15096;4
908;15097;5
909;15098;5
910;15099;2
911;15099;2
912;15099;2
913;15099;2
914;15099;2
915;15099;2
916;15099;2
917;15099;2
918;15101;1
919;15101;1
920;15101;1
921;15101;1
922;15101;1
923;15102;5
924;15102;5
925;15102;5
926;15104;3
927;15105;1
928;15106;1
929;15107;5
930;15108;2
931;15109;6
932;15112;5
933;15115;3
934;15117;3
935;15121;3
936;15123;2
937;15123;2
938;15124;2
939;15131;3
940;15133;1
941;15134;2
942;15140;4
943;15142;5
944;15143;1
945;15143;1
946;15143;1
947;15144;1
948;15145;5
949;15147;5
950;15148;5
951;15150;1
952;15152;5
953;15153;3
954;15155;4
955;15156;2
956;15157;1
957;15159;1
958;15161;6
959;15161;6
960;15163;6
961;15165;6
962;15166;3
963;15167;2
964;15170;4
965;15170;4
966;15170;4
967;15170;4
968;15170;4
969;15170;4
970;15170;4
971;15170;4
972;15170;4
973;15170;4
974;15170;4
975;15171;5
976;15172;3
977;15176;1
978;15178;5
979;15179;5
980;15182;1
981;15183;2
982;15183;2
983;15185;4
984;15186;2
985;15186;2
986;15186;2
987;15186;2
988;15186;2
989;15186;2
990;15186;2
991;15186;2
992;15186;2
993;15186;2
994;15186;2
995;15186;2
996;15186;2
997;15186;2
998;15186;2
999;15186;2
1000;15186;2
1001;15186;2
1002;15187;3
1003;15187;3
1004;15187;3
1005;15187;3
1006;15187;3
1007;15187;3
1008;15187;3
1009;15187;3
1010;15187;3
1011;15187;3
1012;15187;3
1013;15187;3
1014;15187;3
1015;15188;5
1016;15189;3
1017;15190;5
1018;15190;5
1019;15190;5
1020;15191;5
1021;15191;5
1022;15191;5
1023;15191;5
1024;15192;5
1025;15193;2
1026;15194;3
1027;15195;2
1028;15196;4
1029;15198;4
1030;15198;4
1031;15206;1
1032;15207;1
1033;15210;3
1034;15211;1
1035;15212;5
1036;15213;5
1037;15215;3
1038;15216;6
1039;15220;1
1040;15221;4
1041;15223;5
1042;15224;1
1043;15224;1
1044;15226;5
1045;15230;4
1046;15231;5
1047;15232;5
1048;15233;2
1049;15234;3
1050;15235;4
1051;15236;4
1052;15237;5
1053;15238;1
1054;15238;1
1055;15238;1
1056;15239;1
1057;15239;1
1058;15239;1
1059;15240;5
1060;15241;5
1061;15242;5
1062;15243;5
1063;15244;4
1064;15244;4
1065;15244;4
1066;15244;4
1067;15244;4
1068;15245;1
1069;15246;6
1070;15247;2
1071;15248;2
1072;15250;5
1073;15251;2
1074;15252;5
1075;15253;5
1076;15256;2
1077;15259;5
1078;15260;2
1079;15260;2
1080;15260;2
1081;15261;2
1082;15263;2
1083;15265;5
1084;15266;5
1085;15269;2
1086;15270;5
1087;15273;1
1088;15274;6
